tag,val
FC123,0
FC123,0
FC123,0
FC123,0
FC123,14
FC123,15
FC123,14
FC123,13
FC123,13.5
FI71,0
FI71,100
FI71,100
FI71,0
FI71,0
FI71,0
FI71,100
FI71,0
F116,53.371
F116,53.371
F116,53.352
F116,53.352
F116,53.352
F116,53.352
F116,53.352
F116,53.352
F116,53.352
F116,53.352
F116,53.297
F116,53.297unco
F116,53.297
F116,53.297
F116,53.297
F116,53.297
F116,53.297
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
F116,53.19
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.628
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC120,34.495
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
FC121,11.18
F114,66.768
F114,66.768
F114,66.733
F114,66.733
F114,66.733
F114,66.733
F114,66.733
F114,66.733
F114,66.733
F114,66.733
F114,66.741
F114,66.741
F114,66.741
F114,66.741
F114,66.741
F114,66.741
F114,66.741
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F114,66.776
F117,21.062
F117,21.062
F117,22.86
F117,22.86
F117,22.86
F117,22.86
F117,22.86
F117,22.86
F117,22.86
F117,22.86
F117,22.813
F117,22.813
F117,22.813
F117,22.813
F117,22.813
F117,22.813
F117,22.813
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
F117,21.354
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.323
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC124,47.325
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.817
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
FC125,118.668
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F135,2.217
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.67
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
F118,7.336
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.665
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
FC122,25.929
